username,date,time_in,time_out,time_break,is_home_office,created_at,daily_activity_attributes
mpietraszko,2023-12-04,08:00:00,16:00:00,,Yes,2023-12-06 09:27:19.008,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-06 09:27:19.008000', 'time_spent': '08:00'}"
bsendziuk,2023-12-06,09:00:00,18:00:00,01:00,Yes,2023-12-06 09:28:28.128,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-06 09:28:28.128000', 'time_spent': '08:00'}"
mpietraszko,2023-12-05,08:00:00,16:00:00,,Yes,2023-12-06 09:29:38.976,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-06 09:29:38.976000', 'time_spent': '08:00'}"
gleka,2023-12-06,08:30:00,12:30:00,00:00,Yes,2023-12-06 12:35:48.768,"{'project_name': 'DSE Tech', 'created_at': '2023-12-06 12:35:48.768000', 'time_spent': '04:00'}"
pstolpa2,2023-12-06,08:15:00,14:00:00,00:25,No,2023-12-06 13:35:48.192,"{'project_name': 'Sales B2B', 'created_at': '2023-12-06 13:35:48.192000', 'time_spent': '05:20'}"
idoebold,2023-12-06,13:30:00,15:30:00,,Yes,2023-12-06 15:52:19.776,"{'project_name': 'Marketing B2C', 'created_at': '2023-12-06 15:52:19.776000', 'time_spent': '02:00'}"
mkajo,2023-12-06,10:30:00,16:00:00,01:30,Yes,2023-12-06 16:06:29.952,"{'project_name': 'DSE Quality', 'created_at': '2023-12-06 16:06:29.952000', 'time_spent': '04:00'}"
dsylari,2023-12-06,10:30:00,17:00:00,02:30,Yes,2023-12-06 17:06:20.736,"{'project_name': 'DSE Tech', 'created_at': '2023-12-06 17:06:20.736000', 'time_spent': '04:00'}"
msarac,2023-12-06,13:00:00,17:00:00,00:00,No,2023-12-06 17:34:38.496,"{'project_name': 'IT', 'created_at': '2023-12-06 17:34:38.496000', 'time_spent': '04:00'}"
mshchelkunov,2023-12-05,11:00:00,15:00:00,,No,2023-12-06 18:13:57.216,"{'project_name': 'DSE Quality', 'created_at': '2023-12-06 18:13:57.216000', 'time_spent': '04:00'}"
mshchelkunov,2023-12-06,12:00:00,16:00:00,,Yes,2023-12-14 10:24:39.456,"{'project_name': 'DSE Quality', 'created_at': '2023-12-14 10:24:39.456000', 'time_spent': '04:00'}"
aminaeva,2023-12-06,16:00:00,23:00:00,,Yes,2023-12-07 01:42:12.672,"{'project_name': 'DSE Jobs', 'created_at': '2023-12-07 01:42:12.672000', 'time_spent': '07:00'}"
kokuyama,2023-12-05,09:00:00,16:55:00,00:15,Yes,2023-12-07 09:47:46.752,"{'project_name': 'IT', 'created_at': '2023-12-07 09:47:46.752000', 'time_spent': '07:40'}"
pstolpa2,2023-12-07,08:45:00,14:30:00,00:00,No,2023-12-07 14:24:43.200,"{'project_name': 'Sales B2B', 'created_at': '2023-12-07 14:24:43.200000', 'time_spent': '05:45'}"
dsylari,2023-12-07,12:30:00,16:30:00,,No,2023-12-07 16:34:07.104,"{'project_name': 'DSE Tech', 'created_at': '2023-12-07 16:34:07.104000', 'time_spent': '04:00'}"
